,Latitude,Longitude
0,1.3155348,103.8907562
1,1.3123877,103.85916800000001
2,1.318228,103.913134
3,1.330379,103.86811180000001
4,1.3163,103.94044
5,1.3085719999999998,103.863361
6,1.2944265863817,103.80669940423
7,1.3354396305425,103.74253471349
8,1.2770371,103.79142390000001
9,1.3614524193563,103.88728083069
10,1.2774437168073,103.84931534529
11,1.292136,103.825779
12,1.303109,103.838398
13,1.3099370000000001,103.914643
14,1.4302283000000002,103.78412990000001
15,1.298827,103.884925
16,1.3522427998674,103.84995997989999
17,1.3006030000000002,103.86182099999999
18,1.2754191000000001,103.83740470000001
19,1.3367639999999998,103.7790883
20,1.318984,103.828056
21,1.2978138000000001,103.7660084
22,1.314584,103.803649
23,1.3596,103.8671
24,1.3492819999999999,103.86690258979999
25,1.3336887,103.8531666
26,1.33762,103.93159
27,1.3205737,103.75317249999999
28,1.354818,103.877585
29,1.3427281999999998,103.72030040000001
30,1.2817100472005,103.78576040268
31,1.3255966814912,103.92981841105
32,1.30964,103.76094599999999
33,1.3326038999999998,103.886324
34,1.376056,103.756422
35,1.3185790000000002,103.922901
36,1.2708745000000001,103.8133722
37,1.2841362553865001,103.82980660926
38,1.3425857,103.9538368
39,1.264312170293,103.8157582283
40,1.3457914594321998,103.72466182209
41,1.4052941,103.9020714
42,1.3667669864405,103.76132011413999
43,1.3557709999999998,103.741054
44,1.3142120000000002,103.853872
45,1.4272428250801998,103.83610448861
46,1.2716100000000001,103.80775
47,1.3518346148812987,103.88136509325408
48,1.3381401777306998,103.84679567725
49,1.3186720966855,103.76189947128
50,1.3321370032412,103.94666982698
51,1.3718190716964,103.94605076126
52,1.3275104902119,103.94928342751
53,1.312753,103.923707
54,1.3279125238955,103.90655636786998
55,1.3217158000000002,103.94395920000001
56,1.302682,103.901217
57,1.3425563758010062,103.8822733376194
58,1.3639366442697,103.93283356351
59,1.350571,103.84119
60,1.3484136999999998,103.7445392
61,1.3530771000000001,103.8357453
62,1.3098404,103.9083628
63,1.307723,103.925126
64,1.3813926,103.8924148
65,1.311699,103.93779599999999
66,1.3862374,103.8685247
67,1.313552,103.79386
68,1.3901648000000002,103.8960137
69,1.34105,103.77113
70,1.297796,103.871193
71,1.35796,103.88204
72,1.3008503999999999,103.7999719
73,1.3062299,103.8882208
74,1.280985,103.84078120000001
75,1.3791766507808,103.90283554257
76,1.3269841999999998,103.82299429999999
77,1.2718989,103.827198
